Model,Size/Params,ID Macro-F1,OOD AUROC (ToN-IoT),OOD AUROC (BoT-IoT),TPR@1% FPR (ToN),TPR@1% FPR (BoT),Assurance Overhead
ThreatMLP,"46,542 params (2.48 KB)",0.9198,0.8190,0.9982,75.44%,96.71%,0.165 ms
ThreatCNN1D,"34,703 params (15.64 KB)",0.9198,0.3535,0.4948,28.19%,44.05%,0.203 ms
